date,signal_symbol,trade_symbol,regime,vix_regime,signal_close,trade_close,rsi,target_exposure_pct,actual_exposure_pct,trade_action,allocation_change_pct,cumulative_return_pct,reason
2026-03-05,QQQ,TQQQ,CHOP,VIX_CHOP,608.02,49.59,48.38,75.32,0.00,HOLD,0.00,-8.11,Panic re-entry lock | Blocked: no buys in CHOP until BULL | Targets suppressed | Diff below min rebalance change
2026-03-06,QQQ,TQQQ,CHOP,VIX_CHOP,599.75,47.54,43.13,53.29,0.00,HOLD,0.00,-8.11,Panic re-entry lock | Blocked: no buys in CHOP until BULL | Targets suppressed | Diff below min rebalance change
2026-03-09,QQQ,TQQQ,CHOP,VIX_CHOP,607.76,49.40,48.91,75.85,0.00,HOLD,0.00,-8.11,Panic re-entry lock | Blocked: no buys in CHOP until BULL | Targets suppressed | Diff below min rebalance change
2026-03-10,QQQ,TQQQ,CHOP,VIX_CHOP,607.77,49.40,48.92,76.50,0.00,HOLD,0.00,-8.11,Panic re-entry lock | Blocked: no buys in CHOP until BULL | Targets suppressed | Diff below min rebalance change
2026-03-11,QQQ,TQQQ,CHOP,VIX_CHOP,607.69,49.35,48.86,76.90,0.00,HOLD,0.00,-8.11,Panic re-entry lock | Blocked: no buys in CHOP until BULL | Targets suppressed | Diff below min rebalance change
2026-03-12,QQQ,TQQQ,CHOP,VIX_CHOP,597.26,46.83,41.93,47.69,0.00,HOLD,0.00,-8.11,Panic re-entry lock | Blocked: no buys in CHOP until BULL | Targets suppressed | Diff below min rebalance change
2026-03-13,QQQ,TQQQ,CHOP,VIX_CHOP,593.72,45.93,39.87,39.63,0.00,HOLD,0.00,-8.11,Panic re-entry lock | Blocked: no buys in CHOP until BULL | Targets suppressed | Diff below min rebalance change
2026-03-16,QQQ,TQQQ,CHOP,VIX_CHOP,600.38,47.46,45.32,56.67,0.00,HOLD,0.00,-8.11,Panic re-entry lock | Blocked: no buys in CHOP until BULL | Targets suppressed | Diff below min rebalance change
2026-03-17,QQQ,TQQQ,CHOP,VIX_CHOP,603.08,48.10,47.41,64.86,0.00,HOLD,0.00,-8.11,Panic re-entry lock | Blocked: no buys in CHOP until BULL | Targets suppressed | Diff below min rebalance change
2026-03-18,QQQ,TQQQ,CHOP,VIX_CHOP,594.90,46.10,42.17,42.28,0.00,HOLD,0.00,-8.11,Panic re-entry lock | Blocked: no buys in CHOP until BULL | Targets suppressed | Diff below min rebalance change
2026-03-19,QQQ,TQQQ,CHOP,VIX_CHOP,593.02,45.69,41.04,38.11,0.00,HOLD,0.00,-8.11,Panic re-entry lock | Blocked: no buys in CHOP until BULL | Targets suppressed | Diff below min rebalance change
2026-03-20,QQQ,TQQQ,CHOP,VIX_CHOP,582.06,43.08,35.16,0.00,0.00,HOLD,0.00,-8.11,Panic trigger active | Panic trigger active (day low vs prior close) | Panic cooldown active | No change vs current exposure
2026-03-23,QQQ,TQQQ,CHOP,VIX_CHOP,588.00,44.57,40.17,0.00,0.00,HOLD,0.00,-8.11,Panic trigger active | Panic cooldown active | No change vs current exposure
2026-03-24,QQQ,TQQQ,CHOP,VIX_CHOP,583.98,43.62,38.03,0.00,0.00,HOLD,0.00,-8.11,Panic cooldown active | No change vs current exposure
2026-03-25,QQQ,TQQQ,CHOP,VIX_CHOP,587.82,44.39,41.25,0.00,0.00,HOLD,0.00,-8.11,Panic cooldown active | No change vs current exposure
2026-03-26,QQQ,TQQQ,CHOP,VIX_CHOP,573.79,41.23,34.25,0.00,0.00,HOLD,0.00,-8.11,Panic trigger active | Panic cooldown active | No change vs current exposure
2026-03-27,QQQ,TQQQ,BEAR_PENDING,VIX_BEAR,562.58,38.78,29.88,0.00,0.00,HOLD,0.00,-8.11,Panic trigger active | Panic cooldown active | No change vs current exposure
2026-03-30,QQQ,TQQQ,BEAR_PENDING,VIX_BEAR,558.28,37.89,28.39,0.00,0.00,HOLD,0.00,-8.11,Panic trigger active | Panic trigger active (day low vs prior close) | Panic cooldown active | No change vs current exposure
2026-03-31,QQQ,TQQQ,CHOP,VIX_CHOP,577.29,41.68,42.16,0.00,0.00,HOLD,0.00,-8.11,Panic cooldown active | No change vs current exposure
2026-04-01,QQQ,TQQQ,CHOP,VIX_CHOP,584.31,43.23,46.27,0.00,0.00,HOLD,0.00,-8.11,Panic cooldown active | No change vs current exposure
2026-04-02,QQQ,TQQQ,CHOP,VIX_CHOP,584.98,43.33,46.66,0.00,0.00,HOLD,0.00,-8.11,Panic cooldown active | No change vs current exposure
2026-04-06,QQQ,TQQQ,CHOP,VIX_CHOP,588.50,44.10,48.76,0.00,0.00,HOLD,0.00,-8.11,Panic cooldown active | No change vs current exposure
2026-04-07,QQQ,TQQQ,CHOP,VIX_CHOP,588.59,44.15,48.81,0.00,0.00,HOLD,0.00,-8.11,Panic cooldown active | No change vs current exposure
2026-04-08,QQQ,TQQQ,BULL,VIX_CHOP,606.09,48.00,58.28,0.00,0.00,HOLD,0.00,-8.11,Panic cooldown active | No change vs current exposure
2026-04-09,QQQ,TQQQ,BULL,VIX_BULL,610.19,48.96,60.14,0.00,0.00,HOLD,0.00,-8.11,Panic cooldown active | No change vs current exposure
2026-04-10,QQQ,TQQQ,BULL,VIX_BULL,611.07,49.19,60.55,0.00,0.00,HOLD,0.00,-8.11,Panic cooldown active | No change vs current exposure
2026-04-13,QQQ,TQQQ,BULL,VIX_BULL,617.51,50.66,63.48,0.00,0.00,HOLD,0.00,-8.11,Panic cooldown active | No change vs current exposure
2026-04-14,QQQ,TQQQ,BULL,VIX_BULL,628.57,53.41,67.90,100.00,99.97,BUY_TQQQ,99.97,-8.11,Trade: BUY TQQQ
2026-04-15,QQQ,TQQQ,BULL,VIX_BULL,637.40,55.65,70.92,50.00,99.97,HOLD,-49.99,-4.26,Hold blocked
2026-04-16,QQQ,TQQQ,BULL,VIX_BULL,640.47,56.43,71.91,50.00,49.99,SELL_TQQQ,-49.99,-2.91,Trade: SELL TQQQ
2026-04-17,QQQ,TQQQ,BULL,VIX_BULL,648.85,58.59,74.47,50.00,50.93,HOLD,-0.95,-1.06,Hold blocked | Diff below min rebalance change
2026-04-20,QQQ,TQQQ,BULL,VIX_BULL,646.79,58.08,72.72,50.00,50.71,HOLD,-0.71,-1.49,Diff below min rebalance change
2026-04-21,QQQ,TQQQ,BULL,VIX_CHOP,644.33,57.40,70.58,50.00,50.41,HOLD,-0.44,-2.08,Diff below min rebalance change
2026-04-22,QQQ,TQQQ,BULL,VIX_BULL,655.11,60.21,74.16,50.00,49.99,SELL_TQQQ,-1.62,0.34,Trade: SELL TQQQ
2026-04-23,QQQ,TQQQ,BULL,VIX_BULL,651.42,59.22,70.98,50.00,49.57,HOLD,0.42,-0.49,Hold blocked | Diff below min rebalance change
2026-04-24,QQQ,TQQQ,BULL,VIX_BULL,664.02,62.56,74.94,50.00,50.94,HOLD,-0.95,2.29,Diff below min rebalance change
2026-04-27,QQQ,TQQQ,BULL,VIX_BULL,664.23,62.64,75.00,50.00,50.98,HOLD,-0.98,2.36,Diff below min rebalance change
2026-04-28,QQQ,TQQQ,BULL,VIX_BULL,657.55,60.74,69.21,100.00,99.99,BUY_TQQQ,49.78,0.78,Trade: BUY TQQQ
2026-04-29,QQQ,TQQQ,BULL,VIX_BULL,661.57,61.86,70.67,50.00,99.99,HOLD,-49.99,2.64,Hold blocked
2026-04-30,QQQ,TQQQ,BULL,VIX_BULL,667.74,63.54,72.82,50.00,49.99,SELL_TQQQ,-49.99,5.42,Trade: SELL TQQQ
2026-05-01,QQQ,TQQQ,BULL,VIX_BULL,674.18,65.30,74.88,50.00,50.68,HOLD,-0.70,6.88,Hold blocked | Diff below min rebalance change
2026-05-04,QQQ,TQQQ,BULL,VIX_BULL,672.88,64.91,73.66,50.00,50.53,HOLD,-0.55,6.56,Diff below min rebalance change
2026-05-05,QQQ,TQQQ,BULL,VIX_BULL,681.50,67.39,76.40,50.00,49.98,SELL_TQQQ,-1.49,8.62,Trade: SELL TQQQ
2026-05-06,QQQ,TQQQ,BULL,VIX_BULL,695.75,71.57,80.08,50.00,51.48,HOLD,-1.50,11.98,Hold blocked
2026-05-07,QQQ,TQQQ,BULL,VIX_BULL,694.94,71.34,79.32,50.00,50.00,SELL_TQQQ,-1.40,11.80,Trade: SELL TQQQ
2026-05-08,QQQ,TQQQ,BULL,VIX_BULL,711.06,76.28,82.81,50.00,51.67,HOLD,-1.68,15.67,Hold blocked
2026-05-11,QQQ,TQQQ,BULL,VIX_BULL,713.29,76.96,83.23,50.00,49.97,SELL_TQQQ,-1.92,16.20,Trade: SELL TQQQ
2026-05-12,QQQ,TQQQ,BULL,VIX_BULL,707.24,74.96,77.67,50.00,49.31,HOLD,0.69,14.69,Hold blocked | Diff below min rebalance change
2026-05-13,QQQ,TQQQ,BULL,VIX_BULL,714.71,77.24,79.49,50.00,50.06,HOLD,-0.07,16.41,Diff below min rebalance change
2026-05-14,QQQ,TQQQ,BULL,VIX_BULL,719.79,78.95,80.65,50.00,50.61,HOLD,-0.64,17.70,Diff below min rebalance change
2026-05-15,QQQ,TQQQ,BULL,VIX_BULL,708.93,75.34,71.38,50.00,49.44,HOLD,0.56,14.98,Diff below min rebalance change
2026-05-18,QQQ,TQQQ,BULL,VIX_BULL,705.88,74.32,68.99,100.00,99.98,BUY_TQQQ,50.89,14.21,Trade: BUY TQQQ
2026-05-19,QQQ,TQQQ,BULL,VIX_BULL,701.53,72.93,65.60,100.00,99.98,HOLD,0.00,12.07,Hold blocked | Diff below min rebalance change
2026-05-20,QQQ,TQQQ,BULL,VIX_BULL,713.15,76.51,69.86,100.00,99.99,HOLD,0.00,17.58,Diff below min rebalance change
2026-05-21,QQQ,TQQQ,BULL,VIX_BULL,714.51,76.95,70.32,50.00,49.98,SELL_TQQQ,-50.01,18.25,Trade: SELL TQQQ
2026-05-22,QQQ,TQQQ,BULL,VIX_BULL,717.54,77.84,71.37,50.00,50.26,HOLD,-0.29,18.93,Hold blocked | Diff below min rebalance change
2026-05-26,QQQ,TQQQ,BULL,VIX_BULL,730.28,81.95,75.34,50.00,49.97,SELL_TQQQ,-1.58,22.09,Trade: SELL TQQQ
